region_name,year,month,LAI,LST_Day,NDVI,EVI,FPAR,LST_Night
Dnipropetrovska,2023,8,0.04001737007611549,304.9278771370995,0.439464289571975,0.25786231368255047,0.18932992452852462,290.3882642271962
Donetska,2023,8,0.03608200179905929,305.40082289152707,0.42645856534796445,0.24663455505559548,0.1733235776881028,289.9124001049974
Ivano_Frankivska,2023,8,0.08614370234534481,300.5868404440564,0.5629041940331884,0.3990534467136303,0.2609915100749782,288.4573839962557
Kharkivska,2023,8,0.05076093533390476,302.177078338224,0.4747437178765741,0.27688802056412465,0.20769801341415492,289.3703972336574
Khersonska,2023,8,0.026891608963146928,309.06305701872884,0.32356952193176824,0.1823300820366913,0.13754972894202033,291.5885904875533
Khmelnytska,2023,8,0.0842402101927292,301.93217617877383,0.5149267993433972,0.3646220534920774,0.24678027775807546,287.85355797818016
Kirovohradska,2023,8,0.05166133043064751,304.939181860778,0.425716465836442,0.2550314990033063,0.20231920116384286,290.30020239132074
Luhanska,2023,8,0.04228806772861794,304.5025209721793,0.42966713302502624,0.2515938201373658,0.18822544292745472,289.42141082803806
Lvivska,2023,8,0.09295858448652128,299.63339593706263,0.5682071956653012,0.42325060080095117,0.26268574079565726,288.2309052063751
Mykolaivska,2023,8,0.030457411506371698,309.5912308109554,0.34314423452214765,0.1923635311897053,0.14815767957422765,291.83101988231016
