region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Kharkivska,2010,7,291.13447773893233,0.05899582409733613,0.2864760385849126,0.21264733862821622,307.07899580055357,0.4646661196996073
Khersonska,2010,7,293.1499564240613,0.05847285328424125,0.2981613896159463,0.20605437735083657,307.5438300736811,0.45396823955451066
Khmelnytska,2010,7,282.96532147511186,0.08251533595133319,0.3646386685081762,0.24320916596991568,300.369500448903,0.544990848288336
Kirovohradska,2010,7,288.1262626917634,0.07644178700991253,0.35988052364057216,0.23735811754486022,304.7562655475082,0.5231871323543855
Luhanska,2010,7,293.26953579472115,0.048156307783576574,0.2366004319025088,0.18581122710080922,308.7798587763749,0.40922375172213504
Lvivska,2010,7,288.3355495777025,0.0833855994422374,0.37807010077425374,0.24723590253078231,299.9578164229306,0.5518387934701672
Mykolaivska,2010,7,290.6767992334991,0.0644800719436339,0.3339325653067694,0.2200476545906431,307.0900209353799,0.49323925349395703
Odeska,2010,7,287.1487896108765,0.058071974140544026,0.3082433151792017,0.2066733905877987,304.0651367896468,0.4766773559544281
Poltavska,2010,7,292.4110898643994,0.08704538608388789,0.3586910245240824,0.24944850021497336,304.3745342287776,0.5313354208142048
Rivnenska,2010,7,289.36023762926055,0.08045809401628903,0.38223283242377654,0.2426270766821336,295.5395118372532,0.5484003707136249
Sumska,2010,7,288.7287683381631,0.06215986617144374,0.28112104596833765,0.21033349862661457,306.34998583340587,0.4549333968096341
Ternopilska,2010,7,288.8601645693918,0.08319083490560861,0.3820289607751761,0.24513293757159174,298.0474361314547,0.5506617021346621
Vinnytska,2010,7,275.1137275051947,0.08787977497108129,0.3693344771548067,0.24757992624704409,300.0723686705434,0.54079842085615
Volynska,2010,7,290.8541097486199,0.07112077232121657,0.35371085166350436,0.23285059851837853,295.8433228074061,0.5190687907798751
Zakarpatska,2010,7,291.609635059217,0.07031769907946989,0.36797622824312204,0.2363719212583232,302.50576380970034,0.5419943019152679
Zaporizka,2010,7,292.4966639262799,0.05281320421350794,0.2907071614196997,0.20047370780073093,308.1581068071029,0.44538744801783253
Zhytomyrska,2010,7,288.7130365416599,0.08988415839280423,0.356236718485491,0.25862076773159304,302.8027007093955,0.5515892445218546
Avtonomna_Respublika_Krym,2010,9,282.7260938806307,0.015197798822062845,0.12981598121456434,0.08653692283930814,270.6926704474946,0.26453872740028667
Cherkaska,2010,9,270.62488803053355,0.020627111671661185,0.1592549117393573,0.10934832955973195,265.25008795915534,0.3214145080048517
Chernihivska,2010,9,276.7674000787366,0.02723206924288302,0.22274374012398726,0.14703480431612362,278.5908761194393,0.4148256393819705
Chernivetska,2010,9,269.55577356243685,0.042306278648623345,0.247985118558739,0.1889099072889857,291.96836967435246,0.43277081296619224
Dnipropetrovska,2010,9,251.75070829958636,0.012330672193489451,0.12983600539582402,0.08294975089736814,269.37084580362387,0.29077225412135826
Donetska,2010,9,258.7804488167316,0.012947836212798288,0.12170794906711278,0.08327017913202743,269.64402874832234,0.27227422389429834
Ivano_Frankivska,2010,9,277.2310678635694,0.04642130901164877,0.27774561588196645,0.206338318843138,286.2011364092434,0.4797929883443125
Kharkivska,2010,9,257.7267360793667,0.013000131730291332,0.12925465607360467,0.08588826625327968,280.54362421949753,0.3052965724703408
Khersonska,2010,9,277.37255198406774,0.01676923209297268,0.14325179211503747,0.09786291374406948,267.1535239912708,0.2843836983635482
Khmelnytska,2010,9,274.1973436218194,0.0358838204694848,0.23587974585500524,0.17712813033599642,291.213325401701,0.4259185282587725
Kirovohradska,2010,9,237.08078837264253,0.016466352742060524,0.14462593331442294,0.09502215308868352,241.62675573648966,0.32694261999132995
Luhanska,2010,9,276.9510490301163,0.01242172844805917,0.11208111334597806,0.07826463259022812,291.41069246376134,0.2523378951040887
Lvivska,2010,9,279.4229492376697,0.05057724239017681,0.2968315887398569,0.2190393196075605,286.3571572436274,0.4959824367132936
Mykolaivska,2010,9,275.00630058415817,0.017133468946423883,0.14593035046545566,0.10082440569174475,284.36260646591523,0.32048275357746125
Odeska,2010,9,269.0816769969023,0.020404212355447125,0.16211537827232658,0.11157074198088686,275.9073698524772,0.3419146437239386
