region_name,year,month,LST_Night,LST_Day,EVI,NDVI,LAI,FPAR
Donetska,2022,9,281.33200143119444,287.46090361541997,0.14589093752082732,0.33088217198878955,0.013460051925095794,0.08806487621762744
Ivano_Frankivska,2022,9,223.13992042784935,227.65157417482445,0.262135628213714,0.4776615820235941,0.0307849614684803,0.1478116499942171
Kharkivska,2022,9,278.10165645734264,282.2533725627131,0.16271036923677096,0.35640760591886994,0.01394881372621313,0.09074335303208929
Khersonska,2022,9,282.3220006585976,293.15943114338285,0.1653583510817468,0.3131949848836583,0.018893462202634555,0.10798147172717694
Khmelnytska,2022,9,225.94544314047673,255.97126021509592,0.20513634355303037,0.412177753276979,0.022845580189952277,0.12436408601916327
Kirovohradska,2022,9,279.93161238051715,254.37211990733942,0.16757057781567894,0.3599596782407073,0.012777603654810664,0.08044436476446332
Luhanska,2022,9,279.65432651130783,254.0572797048251,0.15842130453051828,0.3564656403823383,0.015225446860875801,0.09494480001107523
Lvivska,2022,9,237.42601421330932,252.76831616583829,0.23067098793060742,0.42304993232398486,0.026572054378353263,0.1405748231088674
Mykolaivska,2022,9,281.47185582066277,294.2150338468383,0.18249771096357884,0.3638095433702998,0.018766235718954777,0.11093817786469751
Odeska,2022,9,281.96350735229055,299.7154057474765,0.15611171824640122,0.29798888222048614,0.016528489328955547,0.09703310218628268
Poltavska,2022,9,265.5745719812711,224.10497914352737,0.17407816334266674,0.35886606536677434,0.014911300012249917,0.0860509496863756
Rivnenska,2022,9,244.91473726998862,231.9038847250762,0.22726857824354743,0.4024274577579023,0.025022615929055497,0.13453427337394483
Sumska,2022,9,247.60597331998446,220.1337905832819,0.19131705258786932,0.3861173544706623,0.01757418849412918,0.0995566536130052
Ternopilska,2022,9,218.24216894224898,244.7321201441232,0.2208444831782198,0.4328987067434627,0.02460289704749723,0.12651942145881498
Vinnytska,2022,9,264.75904897398317,267.9418305977667,0.20034855550514385,0.4054050755958151,0.02198632965747301,0.1210328861684702
Volynska,2022,9,251.15349421765,256.2956002847606,0.2290380577758459,0.4074697258458959,0.024746003385318783,0.1399697437862483
Zakarpatska,2022,9,259.6138299707845,269.57656055936104,0.22271558131771702,0.4098716497583835,0.0220111943832721,0.11799963615942242
Zaporizka,2022,9,282.3425062442053,296.8736977626218,0.1407756131031841,0.28998410111897827,0.013409331149129605,0.08572050798304989
Zhytomyrska,2022,9,264.2490825223228,251.76578621494318,0.17869240246802678,0.3763820764414435,0.01933318883139604,0.11194164736672693
Avtonomna_Respublika_Krym,2022,10,152.50399889669438,285.8028273713644,0.11889776293710394,0.24388977696225345,0.006890960612467534,0.06605357941732441
Cherkaska,2022,10,201.86146038086775,287.32025554885644,0.18733991623478763,0.38254717432167157,0.015870142010471565,0.12302173480143333
Chernihivska,2022,10,194.64849244244735,283.99467479893445,0.21099574483790073,0.41739182643227424,0.016404605981937843,0.13024858721171753
Chernivetska,2022,10,202.27402298608988,289.2758856659602,0.28500351801304613,0.462556914089445,0.032584795623155256,0.20129433409299377
Dnipropetrovska,2022,10,204.0969243980349,254.45270251733447,0.1502256354090038,0.32391127856725277,0.010202918369792573,0.09473714933655505
Donetska,2022,10,191.8735423304346,211.4711508439354,0.11636393703437899,0.2585951245529315,0.007311601268775098,0.06945922068250036
Ivano_Frankivska,2022,10,206.26889971506185,284.5576690906473,0.27970588356359993,0.47274420370861264,0.029896636060092022,0.1974310722338792
Kharkivska,2022,10,202.3228796109889,193.02651002454638,0.11098669094189277,0.25680395149539287,0.007317853548554818,0.07036450452453956
