region_name,year,month,LAI,LST_Night,LST_Day,EVI,NDVI,FPAR
Chernivetska,2020,5,0.06685858873981318,226.4895084174031,243.99584767002142,0.3819702024035759,0.5466281103867819,0.20160853581925067
Dnipropetrovska,2020,5,0.05535675543435726,274.3162888881293,275.5865986232657,0.34732314026411,0.5720193099558445,0.19757426619320836
Donetska,2020,5,0.06019936019235844,282.31959723812724,287.1033084232208,0.36095727377648235,0.566141856023179,0.2066630681939216
Ivano_Frankivska,2020,5,0.07997707409154639,183.93847181830125,238.14975913481527,0.4395830243539901,0.5870554346587229,0.21507060708477357
Kharkivska,2020,5,0.05967869677744108,275.99994826119814,266.5194560943414,0.3600149926497732,0.5879722288156876,0.1926107573117688
Khersonska,2020,5,0.055217320365636674,282.3833020663465,285.05689085215454,0.2717050634344416,0.4474530091821518,0.19284109640036076
Khmelnytska,2020,5,0.050720444980265525,236.7052466524507,240.20428148973312,0.3309599399988776,0.4955142969478213,0.16434935054290584
Kirovohradska,2020,5,0.04263759753428571,267.6137434831351,267.6929859095612,0.2768469313573796,0.4929637621922816,0.14958993833091883
Luhanska,2020,5,0.06283925425432195,281.5305484671213,291.55979528248764,0.33129357153803,0.5433508601098828,0.20145024020845373
Lvivska,2020,5,0.08163750935424265,245.12168904202116,255.47793462625532,0.41996085498628205,0.5729292554451474,0.21928792447193152
Mykolaivska,2020,5,0.05338260633039848,256.94791780727445,289.8992070085764,0.28410092575185764,0.48792738045806144,0.1883575516173028
Odeska,2020,5,0.035514237505937414,277.59200552733216,291.66118550358334,0.22333687494022392,0.40095434264136814,0.14346515692943462
Poltavska,2020,5,0.035831234175140725,277.0953407280372,264.1190291151087,0.2564178006373235,0.44780189943750487,0.12861636999050632
Rivnenska,2020,5,0.06034356470166379,259.41236920789436,252.25790749272386,0.37431823840095235,0.5300356724274797,0.1892975752106694
Sumska,2020,5,0.04704723374111281,269.1887522701508,256.14635151210047,0.28546329417549837,0.4764009794840078,0.15095650632012947
Ternopilska,2020,5,0.06437956980191185,251.66773528229814,242.99406391897136,0.39664663064668404,0.5508937785942182,0.19181137511035898
Vinnytska,2020,5,0.046706011472775394,264.29543630510494,223.29863652132673,0.32163850186260073,0.47935999333586776,0.15292969675242388
Volynska,2020,5,0.07798664679183666,272.5689850430068,268.1525533131159,0.43284289885024185,0.5932889021169103,0.22382692757263684
Zakarpatska,2020,5,0.06145398961570778,238.2365619229623,300.13353624729086,0.3340935106886247,0.4912399359914386,0.2054651169803618
Zaporizka,2020,5,0.061592647193243026,279.04013442883235,289.1198378478052,0.32286104468691496,0.5388323289648066,0.21289595620127388
Zhytomyrska,2020,5,0.04573608618569785,248.85055491834538,206.1568071088281,0.32779816564280373,0.48571154048235154,0.14967868532710302
Avtonomna_Respublika_Krym,2020,7,0.022152769445405954,290.9309515803019,312.42418324739,0.15919880652373664,0.26977001521053534,0.1026131481946658
Cherkaska,2020,7,0.10213283229039039,288.35511474916643,303.1174167247173,0.4042295478691699,0.5526008359981173,0.25751062539765945
Chernihivska,2020,7,0.12296759564815087,287.2759519061973,300.30689963188246,0.4371839221999489,0.5817207559271943,0.270235430332504
Chernivetska,2020,7,0.08041053360375593,287.4862703298497,298.0131119861641,0.3744391347869544,0.5200885652791941,0.22791988483632825
