region_name,year,month,LST_Night,NDVI,EVI,LAI,FPAR,LST_Day
Luhanska,2019,6,289.3516308443443,0.49825548110784346,0.32303375166473186,0.061888081899978395,0.2166210133003054,308.0356230595746
Lvivska,2019,6,288.7162600107686,0.5802558727890357,0.4269013294773502,0.1121604414297027,0.27473240311729574,291.2139420100898
Mykolaivska,2019,6,290.7048735373082,0.44446141709196685,0.3052978875782247,0.05259016508074032,0.19330657151187938,306.9257741300677
Odeska,2019,6,286.2252955420639,0.36543105374603896,0.23674163659889413,0.04125649325254691,0.15750302200876243,309.0562332520978
Poltavska,2019,6,289.51923632985927,0.6169327327832907,0.4681073274627695,0.11420912369384587,0.2806591740177228,303.0206857089551
Rivnenska,2019,6,288.90643187461126,0.5888340482715282,0.4489226895902465,0.1068303063277778,0.2672001963493625,290.0272132920941
Sumska,2019,6,288.5680923859658,0.6291657842615089,0.4863638424538094,0.12526188703516913,0.28555757035892415,300.1990113186925
Ternopilska,2019,6,287.79315019849423,0.6101318508977253,0.459663321518989,0.11935664887643546,0.2804632052155378,298.66687080081175
Vinnytska,2019,6,289.28030105308613,0.6219745259140768,0.47460973413794505,0.1265552602183897,0.2892113901907055,300.9238982314571
Volynska,2019,6,284.12433003798435,0.569003065979999,0.41983595380488237,0.11000719000893094,0.27320502386912576,284.9114651801934
Zakarpatska,2019,6,290.3160864789468,0.5310346322338597,0.37335939649221767,0.09035078861264698,0.25900630620751436,302.30820799949964
Zaporizka,2019,6,290.4455380559654,0.4155570540259809,0.2847889329289394,0.04655963000008983,0.18397042961531168,308.59227979266956
Zhytomyrska,2019,6,288.25054372109696,0.5908936978618571,0.4459173091742321,0.10848815617443627,0.27077867187678584,299.87224048458773
Avtonomna_Respublika_Krym,2019,8,289.7247708778566,0.22531801319908298,0.12404592536888069,0.01592802673102747,0.0833279452703321,311.5418181739508
Cherkaska,2019,8,287.9841512540411,0.381764438274568,0.23590865252117427,0.049742134878316364,0.1894410957115468,305.7440038089551
Chernihivska,2019,8,286.08045843734595,0.4436554057237551,0.2872651263871634,0.06706194478274104,0.22734329345669324,302.96409395817284
Chernivetska,2019,8,287.7008876708702,0.45702155965286556,0.30252911543577,0.06596109299675297,0.22341550016375034,304.1658714770603
Dnipropetrovska,2019,8,288.73029257703683,0.3501845083792743,0.19241605954809834,0.027658551533552893,0.14386980425732074,307.6096531370769
Donetska,2019,8,288.3928574807511,0.3441523710474311,0.18267935104848637,0.02716776634892505,0.1338226949910294,307.49317763377655
Ivano_Frankivska,2019,8,287.4404775317091,0.454361111725327,0.29422179791363556,0.06737623248001788,0.2245950714630719,303.6111158906835
Kharkivska,2019,8,287.71249579129875,0.31258900102234205,0.15971718683116223,0.027133705790904475,0.13595715252821,307.8619418595306
Khersonska,2019,8,289.4640977675654,0.26755603902041114,0.15049942831677063,0.02122828240471801,0.10628859291470774,310.678059642042
Khmelnytska,2019,8,286.62919408460147,0.4688000806221089,0.31966483072648916,0.07014511295589737,0.22798601349537756,302.6107625579555
Kirovohradska,2019,8,288.7055795999612,0.3574241943712033,0.19446322932944815,0.03619025294925302,0.15976563676647662,307.14365767379996
Luhanska,2019,8,287.4516222183761,0.4049072630730309,0.22141949784029963,0.039255874085052316,0.17207138022827126,304.4277404128872
Lvivska,2019,8,287.1191717231269,0.5013341146295839,0.3418636683324967,0.07402725086754158,0.24216120907591884,300.2511842651974
Mykolaivska,2019,8,289.70144743751575,0.2977019421953067,0.154655620370539,0.022987047218258738,0.11768046874740788,310.6403216469146
Odeska,2019,8,290.2323991870583,0.2664664773217525,0.1368624380317824,0.019168653364802196,0.09875194889666404,312.53325410107954
Poltavska,2019,8,288.0803579792016,0.36246210442856985,0.22023121561348735,0.041606083027339445,0.17181170272898016,306.22282435421397
Rivnenska,2019,8,286.84030751184866,0.49464086394980505,0.3446640553366858,0.06931759194030732,0.23651583558575284,299.17111714445025
Sumska,2019,8,286.88072621581836,0.40145320398959866,0.24774292327441447,0.05495745901499818,0.20175214493497345,303.9290478065071
Ternopilska,2019,8,286.78974246726193,0.4379197792905664,0.28865083948580994,0.06250441451495581,0.21490609136681216,304.0703935984334
Vinnytska,2019,8,287.7250792844579,0.4296529485664646,0.2758757936304257,0.057353670922707066,0.20634772995721806,304.2774687174016
Volynska,2019,8,286.82205032363925,0.4748765646113376,0.3282005718720239,0.06410965491877794,0.23114159677988771,300.76456732528754
Zakarpatska,2019,8,289.1793987574534,0.4236729620689785,0.2697382681473616,0.054388388047123884,0.2061750571796699,305.80270515765056
Zaporizka,2019,8,289.4150706821447,0.29635488081487243,0.15805680123552382,0.021605871098466133,0.11244798003730631,309.9104433954461
Zhytomyrska,2019,8,286.09962116793133,0.4752729863995895,0.3223479669776687,0.07176900112484053,0.2341215202473614,302.07912053420904
Avtonomna_Respublika_Krym,2019,5,285.83107453804956,0.4443320882998788,0.2771056138009785,0.06901941084310477,0.22027687754506875,303.69103702062137
Cherkaska,2019,5,280.29161178198956,0.5771285008074358,0.415051619790838,0.07054911288877562,0.20924181358801586,282.9023401194577
Chernihivska,2019,5,281.95961950482916,0.5302017500116188,0.3734308934921717,0.06644068724901163,0.2001338239420523,300.09622938675545
Chernivetska,2019,5,282.14836795260834,0.5533378395015551,0.395947005465253,0.08087436540466497,0.22534696870981136,293.39467489904143
